pt1,pt2,eta1,eta2,phi1,phi2,E1,E2
+3.3144898e+01,+2.1067385e+01,+2.1760893e+00,-1.3919000e-01,+2.1425059e-01,-2.6704178e+00,+1.4791347e+02,+2.1271793e+01
+4.2871246e+01,+3.7205387e+01,+6.7115530e-02,-9.4607353e-01,-1.3265307e-01,-2.9263079e+00,+4.2967840e+01,+5.5135395e+01
+3.3070188e+01,+2.9222084e+01,-3.6634716e-01,-2.1460435e+00,+2.4625015e+00,-8.6160982e-01,+3.5314297e+01,+1.2664713e+02
+2.8597910e+01,+1.9120684e+01,+1.9510962e+00,+2.0896547e+00,-1.3539007e+00,+1.9133320e+00,+1.0264526e+02,+7.8450766e+01
+4.9459629e+01,+3.5819855e+01,-1.3192961e+00,-4.8245984e-01,+1.6212115e+00,-1.4044982e+00,+9.9119836e+01,+4.0070199e+01
+6.3139535e+01,+1.8481809e+01,-2.2828177e-01,-1.9150369e+00,+1.5753047e-01,-2.4930727e+00,+6.4791961e+01,+6.4081375e+01
+4.9670844e+01,+3.6633945e+01,+1.5598022e+00,+8.3221698e-01,+1.3894869e+00,-1.6703744e+00,+1.2338380e+02,+5.0069305e+01
+2.7137146e+01,+2.5529799e+01,-2.1587708e+00,+5.5717982e-02,-3.0784876e+00,+1.0779687e-01,+1.1907720e+02,+2.5569656e+01
+5.0368695e+01,+4.6622074e+01,+2.6206496e-01,+2.3308401e+00,-1.7611178e+00,+2.9002533e+00,+5.2108336e+01,+2.4205703e+02
+3.4681559e+01,+3.0784709e+01,+1.4967807e-01,-9.9224746e-01,+2.4758894e+00,-7.9247785e-01,+3.5070937e+01,+4.7224359e+01
+3.5948934e+01,+2.1704658e+01,-2.0506413e+00,+6.7305617e-02,-2.3235054e+00,-3.9293042e-01,+1.4202595e+02,+2.1754096e+01
+4.6261168e+01,+4.5946367e+01,-4.5710123e-01,-3.4543633e-02,-1.7719790e+00,+1.7976533e+00,+5.1178957e+01,+4.5973906e+01
+3.5353191e+01,+3.0858828e+01,+9.0533769e-01,-8.0387574e-01,-2.2296460e+00,+4.5548463e-01,+5.0858609e+01,+4.1378203e+01
+4.3318074e+01,+3.7700684e+01,-7.2201818e-01,+3.4469470e-02,+1.8761610e+00,-1.3564138e+00,+5.5108270e+01,+3.7723082e+01
+4.4665652e+01,+4.0537402e+01,+1.1705122e+00,+6.2894213e-01,-2.9890912e+00,+6.6883609e-02,+7.8920961e+01,+4.8822973e+01
+4.2279254e+01,+4.1374219e+01,+1.2493091e+00,+2.5381607e-01,-2.8389208e+00,+3.3289757e-01,+7.9794375e+01,+4.2714105e+01
+5.5903133e+01,+2.7114072e+01,+1.3773044e+00,-1.8017780e+00,+2.6494274e+00,-1.0989968e+00,+1.1785668e+02,+8.4398289e+01
+2.6444723e+01,+1.0483014e+01,+2.2664447e+00,+1.9356039e+00,+2.3950729e+00,-1.3259777e+00,+1.2890126e+02,+3.7071039e+01
+2.9561855e+01,+2.6253234e+01,-1.7179828e+00,+2.9920644e-01,+2.8849852e+00,-3.2033047e-01,+8.5030273e+01,+2.7437182e+01
+3.4499980e+01,+2.9882422e+01,+6.6265446e-01,-6.5860993e-01,+5.1420683e-01,-2.7924995e+00,+4.2355906e+01,+3.6601109e+01
+1.0913830e+02,+3.9743039e+01,-9.3211770e-01,-2.0334895e+00,-2.5245185e+00,-3.4921786e-01,+1.6008414e+02,+1.5443311e+02
+3.2566789e+01,+2.2635314e+01,-4.4059661e-01,+1.8522203e+00,+2.6232388e+00,-4.6002626e-01,+3.5779434e+01,+7.3913930e+01
+5.1860133e+01,+4.1859957e+01,+1.5779669e+00,+1.3778809e+00,+9.8224562e-01,-2.4259498e+00,+1.3098551e+02,+8.8295266e+01
+5.2863117e+01,+1.9671088e+01,-1.3617188e+00,+4.7359878e-01,+1.8901494e-01,+1.8891042e+00,+1.0993191e+02,+2.1918703e+01
+3.1277854e+01,+2.1439811e+01,+1.9436290e+00,-5.8926966e-02,-2.3914213e+00,+9.4484806e-01,+1.1146234e+02,+2.1477305e+01
+3.7826039e+01,+3.6743020e+01,-8.8346052e-01,-1.0629848e+00,-2.7656789e+00,+7.1449256e-01,+5.3573156e+01,+5.9531453e+01
+4.9835672e+01,+4.5014270e+01,-1.9098872e-01,-2.8875830e-02,-1.7825059e+00,+8.7131560e-01,+5.0747359e+01,+4.5033039e+01
+4.3601723e+01,+2.5592119e+01,+1.7381105e+00,+6.7109190e-02,-1.6355454e+00,+1.0176393e+00,+1.2780627e+02,+2.5649770e+01
+2.8408740e+01,+8.9277549e+00,+1.2035286e+00,-2.0189486e+00,-4.9917763e-01,-2.3693738e+00,+5.1590078e+01,+3.4207578e+01
+4.4390398e+01,+3.9350449e+01,-1.3569063e+00,-1.9632533e+00,-1.6097347e+00,+1.4031745e+00,+9.1923953e+01,+1.4289844e+02
+4.2287117e+01,+2.7343342e+01,+2.0968957e+00,+1.3528327e+00,-1.1614217e+00,+1.6323378e+00,+1.7472397e+02,+5.6421375e+01
+4.3679871e+01,+4.1354621e+01,+3.4979817e-01,+1.0905758e+00,+2.6142781e+00,-8.4275413e-01,+4.6379660e+01,+6.8483547e+01
+3.4688828e+01,+3.0538963e+01,-1.0836434e+00,-9.6403010e-02,+2.4451728e+00,-7.6557857e-01,+5.7128828e+01,+3.0680980e+01
+1.3365641e+02,+1.5825521e+01,-1.8429937e+00,-7.0142621e-01,+1.4801581e+00,-3.5993198e-01,+4.3262972e+02,+1.9880844e+01
+4.5738094e+01,+3.6554648e+01,+4.3377340e-01,-5.1462102e-01,-1.8691798e+00,+1.1931177e+00,+5.0109125e+01,+4.1503027e+01
+3.9884250e+01,+3.8493898e+01,+2.5622585e-01,-1.0042311e+00,+2.6369777e+00,-5.5633485e-01,+4.1200664e+01,+5.9591129e+01
+4.7601160e+01,+2.1056479e+01,+2.2926950e+00,-1.9120114e-02,-7.0899093e-01,-3.7621096e-01,+2.3806725e+02,+2.1060592e+01
+8.1151773e+01,+2.4994311e+01,+1.9332584e+00,+1.7348385e+00,+2.9863465e+00,-2.5202444e-01,+2.8633072e+02,+7.3038883e+01
+6.9062734e+01,+3.7208992e+01,+1.9392835e+00,+1.6982002e+00,-4.1347817e-01,+1.6704572e+00,+2.4508895e+02,+1.0506182e+02
+3.8489867e+01,+3.3255020e+01,-3.0260336e-02,+1.2484105e+00,+2.3124058e+00,-9.0229487e-01,+3.8507492e+01,+6.2714977e+01
+6.2478848e+01,+2.9155033e+01,+2.9815239e-01,-8.7058313e-02,+7.3737866e-01,-2.8480039e+00,+6.5276504e+01,+2.9265588e+01
+4.3162133e+01,+1.0541187e+01,-1.4675293e+00,+5.0762087e-01,-1.9499759e-01,+1.5857397e+00,+9.8603883e+01,+1.1928723e+01
+4.9487723e+01,+4.2565980e+01,-1.9115698e-01,-2.4999860e-01,-2.7412896e+00,+2.9134953e-01,+5.0394645e+01,+4.3903094e+01
+2.6876506e+02,+2.2666033e+01,+1.2225290e-01,+1.0302559e+00,+6.9785756e-01,+1.4242625e-01,+2.7077603e+02,+3.5797582e+01
+3.0033414e+01,+2.7669166e+01,-1.0136520e+00,+1.0534124e+00,-8.1158161e-01,+2.0225635e+00,+4.6830164e+01,+4.4494301e+01
+4.7691359e+01,+4.1230711e+01,+9.2545271e-01,+4.5125797e-01,-1.2792811e+00,+1.9294198e+00,+6.9614172e+01,+4.5500418e+01
+4.8298551e+01,+4.4509488e+01,-1.5334847e+00,-1.3201021e+00,-5.8508480e-01,+2.5649176e+00,+1.1712597e+02,+8.9261875e+01
+4.0939668e+01,+3.7760645e+01,+9.1159457e-01,+2.1302998e+00,-3.1019483e+00,-1.2319635e-02,+5.9161395e+01,+1.6116608e+02
+5.6066879e+01,+2.8493668e+01,-1.6501373e+00,-1.1149048e+00,+3.7940195e-01,-3.0083294e+00,+1.5137272e+02,+4.8114871e+01
+3.9062715e+01,+2.4058225e+01,+2.8552565e-01,-1.4107118e+00,-9.5330697e-01,+2.4019010e+00,+4.0665992e+01,+5.2240633e+01
